game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
954,q_learning,sb3,J0,30,28,28,30,21,11,10
955,q_learning,sb3,J0,30,26,26,30,21,15,6
956,q_learning,sb3,J1,13,30,30,13,13,4,9
957,q_learning,sb3,J0,30,29,29,30,17,9,8
958,q_learning,sb3,J0,30,26,26,30,20,13,7
959,q_learning,sb3,J0,30,26,26,30,20,11,9
960,q_learning,sb3,J0,30,17,17,30,17,14,3
961,q_learning,sb3,J0,30,27,27,30,18,12,6
962,q_learning,sb3,J1,26,30,30,26,20,10,10
963,q_learning,sb3,J0,30,17,17,30,18,11,7
964,q_learning,sb3,J1,13,30,30,13,18,11,7
965,q_learning,sb3,J1,24,30,30,24,19,11,8
966,q_learning,sb3,J0,30,26,26,30,21,14,7
967,q_learning,sb3,J0,30,17,17,30,18,13,5
968,q_learning,sb3,J1,17,30,30,17,16,8,8
969,q_learning,sb3,J0,30,26,26,30,22,13,9
970,q_learning,sb3,J1,29,30,30,29,21,13,8
971,q_learning,sb3,J0,30,14,14,30,15,11,4
972,q_learning,sb3,J0,30,27,27,30,20,11,9
973,q_learning,sb3,J0,30,23,23,30,16,12,4
974,q_learning,sb3,J1,25,30,30,25,16,8,8
975,q_learning,sb3,J1,23,30,30,23,17,7,10
976,q_learning,sb3,J1,19,30,30,19,18,10,8
977,q_learning,sb3,J1,23,30,30,23,20,9,11
978,q_learning,sb3,J1,16,30,30,16,17,7,10
979,q_learning,sb3,J1,22,30,30,22,18,7,11
980,q_learning,sb3,J1,14,30,30,14,14,5,9
981,q_learning,sb3,J1,21,30,30,21,18,10,8
982,q_learning,sb3,J1,10,30,30,10,15,9,6
983,q_learning,sb3,J1,18,30,30,18,15,9,6
984,q_learning,sb3,J0,30,27,27,30,19,13,6
985,q_learning,sb3,J0,30,27,27,30,19,9,10
986,q_learning,sb3,J0,30,28,28,30,18,10,8
987,q_learning,sb3,J0,30,16,16,30,15,11,4
988,q_learning,sb3,J0,30,28,28,30,20,10,10
989,q_learning,sb3,J1,19,30,30,19,15,8,7
990,q_learning,sb3,J1,22,30,30,22,18,11,7
991,q_learning,sb3,J0,30,24,24,30,20,12,8
992,q_learning,sb3,J1,29,30,30,29,21,13,8
993,q_learning,sb3,J0,30,25,25,30,21,13,8
994,q_learning,sb3,J1,24,30,30,24,17,10,7
995,q_learning,sb3,J1,26,30,30,26,19,13,6
996,q_learning,sb3,J1,23,30,30,23,18,9,9
997,q_learning,sb3,J0,30,24,24,30,19,13,6
998,q_learning,sb3,J0,30,26,26,30,18,10,8
999,q_learning,sb3,J1,22,30,30,22,17,8,9
1000,q_learning,sb3,J1,24,30,30,24,19,10,9
