game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
406,24,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,5,25,-20,1,J0,10-1|5-0|3-3,11-1|6-2|5-1,,,,,,,,,NO_QUIERO,decline,J1,rational,11,27,12,27,1,0,1,,
406,25,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,27,5,22,0,J0,5-0|12-3|2-0,11-2|5-1,,,,,,,,,NO_QUIERO,decline,J1,rational,12,28,13,28,1,0,1,,
406,25,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,12-3|2-0,11-2,9.0,8.0,16.0,6.0,6.0,6.0,2.0,0,QUIERO,accept,J1,rational,13,28,13,30,0,2,0,J1,0
407,2,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,1,2,-1,1,J0,12-1|11-3|1-2,12-3|11-0,,,,,,,,,NO_QUIERO,decline,J1,rational,0,2,1,2,1,0,1,,
407,3,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,28,25,3,0,J0,3-2|1-3|7-3,12-2|5-2|10-1,,,,,,,,,NO_QUIERO,decline,J1,rational,1,3,2,3,1,0,1,,
407,3,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,3-2|7-3,12-2|10-1,10.0,7.0,14.0,7.0,6.0,12.0,1.0,0,QUIERO,accept,J1,rational,2,3,2,5,0,2,0,J1,0
407,4,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,26,3,23,0,J0,10-3|6-0|12-0,12-1|3-2,,,,,,,,,NO_QUIERO,decline,J1,rational,2,5,3,5,1,0,1,,
407,4,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,10-3|6-0|12-0,12-1|3-2,7.0,5.0,12.0,10.0,8.5,17.0,-3.5,1,QUIERO,accept,J1,rational,3,5,3,7,0,2,0,J1,0
407,5,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,29,3,26,0,J1,2-0|12-2|7-0,1-0|3-2,,,,,,,,,FALTA_ENVIDO,raise,J0,random,3,7,3,30,0,23,23,,
407,5,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,1,2,0,3,29,-26,1,J1,1-0|3-2,2-0|12-2|7-0,,,,,,,,,QUIERO,accept,J1,rational,3,7,3,30,0,23,0,,
