game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
790,random,sb3_league,N/A,N/A,J1,15,30,30,15,12,4,8
791,random,sb3_league,N/A,N/A,J1,2,30,30,2,11,0,11
792,random,sb3_league,N/A,N/A,J1,12,30,30,12,12,2,10
793,random,sb3_league,N/A,N/A,J1,8,30,30,8,13,0,13
794,random,sb3_league,N/A,N/A,J1,10,30,30,10,7,2,5
795,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,1,9
796,random,sb3_league,N/A,N/A,J1,2,30,30,2,11,0,11
797,random,sb3_league,N/A,N/A,J1,16,30,30,16,11,1,10
798,random,sb3_league,N/A,N/A,J1,10,30,30,10,8,1,7
799,random,sb3_league,N/A,N/A,J1,12,30,30,12,13,2,11
800,random,sb3_league,N/A,N/A,J1,14,30,30,14,14,1,13
801,random,sb3_league,N/A,N/A,J1,27,30,30,27,17,4,13
802,random,sb3_league,N/A,N/A,J1,21,30,30,21,13,3,10
803,random,sb3_league,N/A,N/A,J1,19,30,30,19,19,4,15
804,random,sb3_league,N/A,N/A,J1,12,30,30,12,9,3,6
805,random,sb3_league,N/A,N/A,J1,17,30,30,17,11,3,8
806,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,0,11
807,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,1,10
808,random,sb3_league,N/A,N/A,J1,11,30,30,11,12,2,10
809,random,sb3_league,N/A,N/A,J1,5,30,30,5,8,0,8
810,random,sb3_league,N/A,N/A,J1,2,30,30,2,8,1,7
811,random,sb3_league,N/A,N/A,J0,30,10,10,30,8,3,5
812,random,sb3_league,N/A,N/A,J1,8,30,30,8,6,2,4
813,random,sb3_league,N/A,N/A,J1,11,30,30,11,12,0,12
814,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,0,11
815,random,sb3_league,N/A,N/A,J1,11,30,30,11,7,2,5
816,random,sb3_league,N/A,N/A,J1,23,30,30,23,14,2,12
817,random,sb3_league,N/A,N/A,J1,11,30,30,11,13,2,11
818,random,sb3_league,N/A,N/A,J1,4,30,30,4,11,0,11
819,random,sb3_league,N/A,N/A,J1,29,30,30,29,15,3,12
820,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,1,10
821,random,sb3_league,N/A,N/A,J1,17,30,30,17,14,2,12
822,random,sb3_league,N/A,N/A,J0,30,8,8,30,4,3,1
823,random,sb3_league,N/A,N/A,J1,10,30,30,10,10,0,10
824,random,sb3_league,N/A,N/A,J1,14,30,30,14,13,4,9
825,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,3,7
826,random,sb3_league,N/A,N/A,J1,4,30,30,4,12,0,12
827,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
828,random,sb3_league,N/A,N/A,J1,8,30,30,8,5,0,5
829,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,0,11
830,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,0,10
831,random,sb3_league,N/A,N/A,J1,3,30,30,3,8,0,8
832,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,0,10
833,random,sb3_league,N/A,N/A,J1,15,30,30,15,12,3,9
834,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
835,random,sb3_league,N/A,N/A,J1,19,30,30,19,16,4,12
836,random,sb3_league,N/A,N/A,J1,13,30,30,13,14,0,14
837,random,sb3_league,N/A,N/A,J1,15,30,30,15,8,2,6
838,random,sb3_league,N/A,N/A,J1,10,30,30,10,13,0,13
839,random,sb3_league,N/A,N/A,J1,10,30,30,10,12,1,11
840,random,sb3_league,N/A,N/A,J1,29,30,30,29,11,1,10
841,random,sb3_league,N/A,N/A,J1,11,30,30,11,10,1,9
842,random,sb3_league,N/A,N/A,J1,6,30,30,6,7,1,6
843,random,sb3_league,N/A,N/A,J0,30,8,8,30,5,1,4
844,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,1,10
845,random,sb3_league,N/A,N/A,J1,8,30,30,8,10,2,8
846,random,sb3_league,N/A,N/A,J1,11,30,30,11,16,2,14
847,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,0,10
848,random,sb3_league,N/A,N/A,J1,26,30,30,26,10,2,8
