timesteps,policy_gradient_loss,value_loss,entropy_loss,loss
974849,-3.887922e-03,7.407586e-01,-1.041266e+00,3.164068e-01
978945,-5.119230e-03,7.711009e-01,-1.041974e+00,3.349675e-01
983041,-4.038016e-03,7.780854e-01,-1.047350e+00,3.315131e-01
987137,-4.181010e-03,7.596405e-01,-1.046550e+00,3.086229e-01
991233,-4.332666e-03,7.980354e-01,-1.046428e+00,3.388854e-01
995329,-4.517522e-03,7.807288e-01,-1.033955e+00,3.088363e-01
999425,-4.102276e-03,7.524083e-01,-1.041886e+00,3.228943e-01
1003521,-4.357786e-03,7.936096e-01,-1.063360e+00,3.394189e-01
1007617,-6.326772e-03,7.800976e-01,-1.052430e+00,3.425094e-01
1011713,-3.299166e-03,7.795915e-01,-1.064438e+00,3.339075e-01
1015809,-3.629500e-03,8.670336e-01,-1.071140e+00,3.615949e-01
1019905,-4.833237e-03,8.397618e-01,-1.062252e+00,3.487183e-01
1024001,-3.838196e-03,8.078230e-01,-1.070279e+00,3.381162e-01
1028097,-3.865020e-03,8.215855e-01,-1.049596e+00,3.518803e-01
1032193,-4.939979e-03,8.068872e-01,-1.052729e+00,3.400737e-01
1036289,-3.852948e-03,8.087016e-01,-1.079149e+00,3.370646e-01
1040385,-4.072410e-03,8.331020e-01,-1.061699e+00,3.668243e-01
1044481,-3.826278e-03,8.343187e-01,-1.067118e+00,3.488764e-01
1048577,-3.462767e-03,8.198189e-01,-1.054514e+00,3.728988e-01
1052673,-4.089110e-03,7.897182e-01,-1.057339e+00,3.234721e-01
1056769,-5.102906e-03,8.140375e-01,-1.056594e+00,3.330477e-01
1060865,-3.664420e-03,8.592137e-01,-1.052235e+00,3.606054e-01
1064961,-3.732523e-03,7.875358e-01,-1.036131e+00,3.358651e-01
1069057,-4.013607e-03,8.300180e-01,-1.039644e+00,3.735306e-01
1073153,-3.337807e-03,8.567806e-01,-1.021306e+00,3.627837e-01
1077249,-5.129343e-03,8.498829e-01,-1.034999e+00,3.799996e-01
1081345,-3.479738e-03,8.106299e-01,-1.023348e+00,3.506433e-01
1085441,-2.761571e-03,8.805717e-01,-1.033854e+00,3.755864e-01
1089537,-3.020601e-03,8.665361e-01,-1.027298e+00,3.570361e-01
1093633,-4.768683e-03,8.254323e-01,-1.051871e+00,3.609003e-01
1097729,-4.128498e-03,8.565968e-01,-1.048269e+00,3.674936e-01
1101825,-4.087636e-03,8.099114e-01,-1.060467e+00,3.558235e-01
1105921,-4.246916e-03,8.049223e-01,-1.061536e+00,3.498709e-01
1110017,-4.482351e-03,7.927574e-01,-1.056780e+00,3.181722e-01
1114113,-3.434621e-03,8.475009e-01,-1.060149e+00,3.688256e-01
1118209,-4.842525e-03,8.054432e-01,-1.060320e+00,3.427399e-01
1122305,-4.359341e-03,7.973842e-01,-1.049703e+00,3.454203e-01
1126401,-3.425701e-03,8.096782e-01,-1.056921e+00,3.198799e-01
1130497,-4.447776e-03,7.664277e-01,-1.042718e+00,3.170678e-01
1134593,-4.321123e-03,7.805234e-01,-1.050098e+00,3.316112e-01
1138689,-4.696729e-03,7.263713e-01,-1.026904e+00,2.998701e-01
1142785,-3.299893e-03,7.655253e-01,-1.030336e+00,3.292815e-01
1146881,-4.065671e-03,7.247171e-01,-1.030491e+00,2.978963e-01
1150977,-5.018297e-03,7.576558e-01,-1.018783e+00,3.049291e-01
1155073,-5.387956e-03,7.679849e-01,-1.031150e+00,3.019964e-01
1159169,-3.068720e-03,7.301155e-01,-1.035737e+00,3.345147e-01
1163265,-5.797051e-03,7.076530e-01,-1.035560e+00,2.843490e-01
1167361,-5.688516e-03,7.617260e-01,-1.058315e+00,3.141441e-01
1171457,-3.845982e-03,7.669793e-01,-1.055153e+00,2.916990e-01
1175553,-4.580045e-03,7.796332e-01,-1.062533e+00,3.139088e-01
1179649,-3.943040e-03,7.353480e-01,-1.063357e+00,3.169144e-01
1183745,-2.969708e-03,7.853861e-01,-1.037691e+00,3.612143e-01
1187841,-4.638061e-03,7.711507e-01,-1.042440e+00,3.076274e-01
1191937,-4.960262e-03,8.085107e-01,-1.033526e+00,3.469217e-01
1196033,-3.152649e-03,7.905609e-01,-1.018910e+00,3.400464e-01
1200129,-3.749789e-03,7.302214e-01,-1.031342e+00,3.197476e-01
1204225,-4.076798e-03,7.342608e-01,-1.039178e+00,2.957900e-01
1208321,-5.208971e-03,7.421973e-01,-1.028516e+00,3.219543e-01
1212417,-4.818712e-03,7.903242e-01,-1.034245e+00,3.182667e-01
1216513,-3.496810e-03,8.100222e-01,-1.016913e+00,3.255183e-01
1220609,-3.318897e-03,7.604338e-01,-1.038995e+00,3.268005e-01
1224705,-5.801620e-03,7.389933e-01,-1.030760e+00,3.075883e-01
1228801,-3.410041e-03,7.518293e-01,-1.030616e+00,3.276242e-01
1232897,-4.817372e-03,6.556041e-01,-1.036570e+00,2.775007e-01
1236993,-3.948964e-03,6.028796e-01,-1.048788e+00,2.377069e-01
1241089,-3.806832e-03,6.322191e-01,-1.052321e+00,2.617831e-01
1245185,-4.340539e-03,6.391452e-01,-1.074000e+00,2.878740e-01
1249281,-4.547569e-03,6.901290e-01,-1.099216e+00,2.345538e-01
1253377,-4.122127e-03,6.781980e-01,-1.083624e+00,2.895112e-01
1257473,-4.873118e-03,6.664956e-01,-1.068674e+00,2.684296e-01
1261569,-5.246831e-03,6.642501e-01,-1.075277e+00,2.535624e-01
1265665,-5.536122e-03,7.479556e-01,-1.087611e+00,3.210903e-01
1269761,-4.339795e-03,7.014879e-01,-1.078815e+00,2.929226e-01
1273857,-6.162731e-03,7.098273e-01,-1.064891e+00,2.633458e-01
1277953,-4.697836e-03,7.922142e-01,-1.066639e+00,3.335713e-01
1282049,-4.126836e-03,7.313062e-01,-1.058751e+00,2.771625e-01
1286145,-3.716065e-03,7.506554e-01,-1.047859e+00,2.982027e-01
1290241,-3.774087e-03,7.587859e-01,-1.056676e+00,3.271503e-01
1294337,-5.826867e-03,8.178958e-01,-1.054561e+00,3.276969e-01
1298433,-5.232371e-03,7.634081e-01,-1.025418e+00,3.073946e-01
1302529,-4.042855e-03,8.104212e-01,-1.046308e+00,3.546138e-01
1306625,-5.253210e-03,7.877228e-01,-1.050963e+00,3.089514e-01
1310721,-4.995890e-03,7.914252e-01,-1.049055e+00,3.154303e-01
1314817,-4.224863e-03,7.875685e-01,-1.059337e+00,3.400667e-01
1318913,-5.417329e-03,8.297005e-01,-1.077708e+00,3.112584e-01
1323009,-4.809184e-03,7.315757e-01,-1.064617e+00,2.932397e-01
1327105,-5.473023e-03,7.691589e-01,-1.041484e+00,3.084732e-01
1331201,-5.653976e-03,7.162115e-01,-1.060824e+00,2.974718e-01
1335297,-4.657128e-03,8.102652e-01,-1.073706e+00,3.395342e-01
1339393,-3.171847e-03,8.082310e-01,-1.054233e+00,3.302819e-01
1343489,-3.700673e-03,7.878071e-01,-1.070906e+00,3.261239e-01
1347585,-4.396229e-03,8.024557e-01,-1.079713e+00,3.336672e-01
1351681,-3.331389e-03,8.229073e-01,-1.081292e+00,3.420418e-01
1355777,-4.227860e-03,7.799588e-01,-1.056799e+00,3.417803e-01
1359873,-3.427214e-03,7.428073e-01,-1.066313e+00,3.269411e-01
1363969,-3.750548e-03,7.630575e-01,-1.050465e+00,3.285296e-01
1368065,-4.172733e-03,7.745254e-01,-1.051309e+00,3.145888e-01
1372161,-4.426783e-03,7.527421e-01,-1.053052e+00,2.916040e-01
1376257,-3.820235e-03,8.088037e-01,-1.043916e+00,3.389521e-01
1380353,-3.480716e-03,7.703096e-01,-1.044029e+00,3.218747e-01
1384449,-3.693402e-03,7.840117e-01,-1.053630e+00,3.221993e-01
1388545,-4.982909e-03,7.670153e-01,-1.052772e+00,3.157482e-01
1392641,-2.687194e-03,8.131465e-01,-1.053066e+00,3.463775e-01
1396737,-4.040326e-03,7.999579e-01,-1.053528e+00,3.582645e-01
